Sl. No.,Metric Name,Definition,Preferred Direction
64,95-th Percentile Speed Measurement Error (km/h),The 95-th percentile speed measurement error of a model in km/h,Lower
65,99-th Percentile Speed Measurement Error (km/h),99-th Percentile Speed Measurement Error in km/h,Lower
66,A-acc,A metric used to evaluate the performance of recommendation models,Higher
67,A-mIoU,Average mean intersection over union for semantic segmentation.,Higher
68,A-OSE,Average object segmentation error for a semantic segmentation task.,Lower
69,A-R@10,A metric used to evaluate the performance of recommendation models,Higher
70,A-R@5,Average Recall at 5 detections,Higher
71,A1,A metric used to evaluate the performance of question answering models,Higher
72,A2,Average normalized edit distance for text-to-speech task,Lower 
73,A3,Performance on action recognition task,Higher 
74,A3DP,Average 3D precision,Higher
75,AA@10%perclass,Average accuracy at 10% per class,Higher 
76,AA@200,Average Accuracy at 200 detections,Higher
77,AA@5%perclass,Average Accuracy at 5% per class,Higher
78,Abs Rel,Absolute Relative Error,Lower
79,absolute error,Absolute error,Lower 
80,Absolute Percentage Error,A metric used to evaluate the performance of regression models,Lower
81,absolute relative error,A metric used to evaluate the performance of regression models,Lower
82,ABX-across,A metric used to measure the performance of a speaker verification system .,Lower
83,ABX-within,ABX-within,N/A
84,ACC,A metric used to evaluate the performance of classification models,Higher
85,Acc,The accuracy of a model,Higher
86,"Acc @ 0.5m, 2°","Accuracy at 0.5m, 2°",Higher 
87,"Acc @ 1m, 5°",A metric used to evaluate the performance of pose estimation models,Higher
88,"Acc @ 5m, 10°","Accuracy at 5m, 10°",Higher 
89,Acc. (test),Accuracy for test set,Higher 
90,"Acc@0.25m, 2°",A metric used to measure the performance of a 3D reconstruction system .,Higher
91,"Acc@0.5m, 5°","Accuracy at 0.5m, 5°",Higher
92,Acc@1,Accuracy at 1,Higher 
93,ACC@1-100Clients,The accuracy of a model on 1-100 clients,Higher
94,ACC@1-10Clients,Accuracy at 1-10 Clients,Higher
95,ACC@1-500Clients,Accuracy at 1-500 Clients,Higher
96,ACC@1-50Clients,A metric used to evaluate the performance of recommendation models,Higher
97,Acc@5,Acc@5 is a metric used to evaluate recommendation systems. It measures the percentage of recommended items that are relevant to a user among the top 5 recommendations.,Higher
98,ACC@5-100Clients,A metric used to evaluate the performance of recommendation models,Higher
99,ACC@5-200Clients,Accuracy at 5-200 Clients,Higher
100,"Acc@5m, 10°",Accuracy at 5m and 10 degrees,Higher
101,Acceleration Error,Error in acceleration estimation for a motion tracking task.,Lower
102,ACCURACY,A metric used to evaluate the performance of classification models,Higher
103,accuracy,The accuracy of a model,Higher
104,Accuracy,Accuracy,Higher 
105,Accuracy (%),Accuracy is a metric used to evaluate classification models. It measures the percentage of correctly classified samples across all classes in a dataset.,Higher
106,Accuracy (10 classes),Accuracy (10 classes),Higher 
107,Accuracy (10 unseen classes),Accuracy (10 unseen classes),Higher 
108,Accuracy (10-fold),A metric used to evaluate the performance of text classification models,Higher
109,Accuracy (12 unseen classes),The accuracy of a model on the 12 unseen classes task,Higher
110,Accuracy (2 classes),Accuracy (2 classes),Higher 
111,Accuracy (20 classes),Measures the accuracy of image classification models on a dataset with 20 classes,Higher 
112,Accuracy (24 unseen classes),Accuracy (24 unseen classes),Higher 
113,Accuracy (5 unseen classes),The percentage of correctly classified examples in the 5 unseen classes,Higher
114,Accuracy (5-fold),A metric used to evaluate classification models using cross-validation with 5 folds or partitions of a dataset. It measures the percentage of correctly classified samples across all folds in a dataset. Higher values indicate better performance.,Higher
115,Accuracy (6 emotion),A metric used to evaluate the performance of emotion recognition models,Higher
116,Accuracy (7 emotion),A metric used to evaluate the performance of emotion recognition models,Higher
117,Accuracy (8 emotion),Measures the accuracy of emotion recognition models,Higher 
118,Accuracy (ADD),A metric used to evaluate the performance of object detection models,Higher
119,Accuracy (Binary),Accuracy (binary),Higher 
120,Accuracy (Body + Fingers + Face joints),Accuracy on Body + Fingers + Face joints,Higher
121,Accuracy (Body + Fingers joints),The accuracy of a model on the body and fingers joints detection task,Higher
122,Accuracy (Body joints),Accuracy of body joint detection in an image or video.,Higher
123,Accuracy (C#→Java),Accuracy (C# to Java),Higher 
124,Accuracy (Counterexamples),Accuracy (counterexamples),Higher 
125,Accuracy (Cross-Setup),Accuracy (cross-setup),Higher 
126,Accuracy (Cross-Subject),Accuracy for Cross-Subject,Higher
127,"Accuracy (Cross-View, Avg)",Average cross-view accuracy.,Higher
128,Accuracy (Cross-View),The accuracy of cross-view image retrieval.,Higher
129,Accuracy (CS),The accuracy of a model on the CS task,Higher
130,Accuracy (CV),A metric used to measure the performance of a machine learning model .,Higher
131,Accuracy (Dev),Accuracy (Dev) is a metric used to evaluate speech recognition models. It measures how accurately synthesized speech matches human transcriptions on development datasets.,Higher
132,Accuracy (easy),Accuracy for easy dataset,Higher
133,Accuracy (hard),A metric used to evaluate the performance of object detection models,Higher
134,Accuracy (High),The accuracy of a model on the high resolution image classification task,Higher
135,Accuracy (Inter-Patient),Accuracy (Inter-Patient),Higher
136,Accuracy (Java→C#),Accuracy of Java to C# translation,Higher
137,Accuracy (LOS>3 Days),The accuracy of a model on the LOS>3 days task,Higher
138,Accuracy (LOS>7 Days),Accuracy (LOS>7 days),Higher 
139,Accuracy (max),Maximum Accuracy,Higher
140,Accuracy (mean),The mean accuracy of a model,Higher
141,Accuracy (median),Accuracy on median difficulty,Higher
142,Accuracy (medium),Accuracy on medium difficulty,Higher
143,Accuracy (Middle),A metric used to evaluate the performance of natural language processing models,Higher
144,Accuracy (pose),The accuracy of a model on the pose detection task,Higher
145,Accuracy (Private),Accuracy (Private),Higher 
146,Accuracy (Public),Accuracy public,Higher 
147,Accuracy (RGB+pose),Accuracy on RGB+pose,Higher
148,Accuracy (Set 1),Accuracy on Set 1,Higher
149,Accuracy (Set 2),A metric used to evaluate the performance of text classification models,Higher
150,Accuracy (small),A metric used to evaluate object detection models on small objects or instances in an image. It measures the percentage of correctly detected small objects relative to all small objects in an image. Higher values indicate better performance.,Higher
151,Accuracy (Test-P),Accuracy (Test-P),Higher 
152,Accuracy (Test-U),Accuracy of predicting unseen data,Higher
153,Accuracy (Test),A metric used to evaluate the performance of classification models,Higher
154,Accuracy (token-level),A metric used to evaluate the performance of natural language processing models,Higher
155,Accuracy (training-test),A metric used to evaluate the performance of classification models,Higher
156,Accuracy (under 20% Sym. label noise),Accuracy (under 20% symmetric label noise),Higher 
157,Accuracy (under 50% Sym. label noise),Accuracy (under 50% symmetric label noise),Higher 
158,Accuracy (under 80% Sym. label noise),Accuracy under 80% Symmetric label noise,Higher
159,Accuracy (under 90% Sym. label noise),A metric used to evaluate the performance of classification models,Higher
160,Accuracy (under 95% Sym. label noise),The accuracy of a model with under 95% symmetric label noise,Higher
161,Accuracy (Val),Accuracy on the validation set of a machine learning model.,Higher
162,Accuracy at 1%,Accuracy at 1%,Higher 
163,Accuracy of Agreeableness,Accuracy of predicting the Agreeableness personality trait,Higher
164,Accuracy of Conscientiousness,The accuracy of a model on the conscientiousness detection task,Higher
165,Accuracy of Extraversion,Accuracy of predicting extraversion,Higher
166,Accuracy of Neurotism,Accuracy of Neurotism,Higher 
167,Accuracy of Openness,Accuracy of predicting Openness personality trait,Higher 
168,Accuracy of Sentiment,Accuracy of sentiment classification task,Higher 
169,Accuracy Per-patient,Accuracy per-patient,Higher 
170,Accuracy Per-segment,Accuracy per-segment,Higher 
171,Accuracy Seen,Accuracy seen,Higher 
172,Accuracy Unseen,Accuracy unseen,Higher 
173,Accuracy w/ 3 frames error (Hard),Accuracy with 3 frames error in hard mode.,Higher
174,Accuracy w/ 3 frames error (Light),Accuracy with 3 frames error on Light dataset,Higher
175,Accuracy w/ 3 frames error (Medium color),Accuracy of object tracking with medium color variation and up to three frames error in an object tracking task.,Higher
176,Accuracy w/ 3 frames error (Medium geometric),The accuracy of a model with a 3 frames error on the medium geometric task,Higher
177,Accuracy-(EN),Accuracy-(EN),Higher
178,Accuracy-CN,A metric used to evaluate the performance of text classification models,Higher
179,Accuracy-EN (%),Accuracy-EN in percentage,Higher
180,Accuracy-FR (%),Accuracy for face recognition task,Higher 
181,Accuracy-NE,Accuracy-NE,Higher
182,Accuracy-NM,Accuracy-NM,Higher 
183,Accuracy-Robustness Area,Area under the accuracy-robustness curve for an adversarial robustness evaluation task.,Higher
184,Accuracy(10-fold),Accuracy on 10-fold cross validation,Higher
185,Accuracy(on validation set),Accuracy on validation set,Higher
186,Accuracy(pretrained),Accuracy on pretrained dataset,Higher
187,Accuracy(stratified10-fold),Accuracy (stratified 10-fold),Higher 
188,ACER,A metric used to evaluate the performance of biometric authentication models,Lower
189,ACER@0.2BPCER,Attack classification error rate at 0.2 BPCER,Lower 
190,Action Efficiency,Action efficiency,Higher 
191,Action@1,Action@1,Higher
192,Actions Recall@5,Recall of the top 5 predicted actions for an action recognition task.,Higher 
193,Actions Top-1,Actions Top-1,Higher
194,Actions Top-1 (S1),Top-1 accuracy for action recognition task,Higher 
195,Actions Top-1 (S2),Actions Top-1 (S2) is a metric used to evaluate action recognition models on video data.,Higher
196,Activation bits,Measures the memory size required to store a network,Lower 
197,ADD,Average Distance of Detection,Lower
198,ADD(S) AUC,ADD(S) Area Under the Curve,Higher
199,ADDS AUC,A metric used to evaluate the performance of object detection models,Higher
200,ADE,Average Distance Error,Lower
201,ADE (in world coordinates),Average Displacement Error in world coordinates,Lower
202,ADE-8/12,Average displacement error 8/12,Lower 
203,ADE(0.5),"Average displacement error at time step 0.5 seconds for pedestrian tracking in autonomous driving scenarios, measured in meters.",Lower
204,ADE(1.0),Average Displacement Error at 1.0 seconds,Lower
205,ADE(1.5),Average Distance Error at 1.5 threshold,Lower
206,ADE@2000ms,A metric used to evaluate the performance of object tracking models,Lower
207,ADE@4s (K=5),A metric used to evaluate the performance of trajectory prediction models,Lower
208,Adjusted Rand Index,Adjusted Rand Index,Higher
209,Adversarial,A metric used to evaluate the performance of adversarial attack models,Lower
210,AED,The average Euclidean distance of a model’s predictions,Lower
211,aeIou@1,A metric used to measure the performance of a speaker diarization system .,Higher
212,AEPE (rate=3),Average Endpoint Error with rate of 3,Lower
213,AEPE (rate=5),Average endpoint error (rate=5),Lower 
214,African,Measures the accuracy of image classification models on a dataset with African wildlife,Higher 
215,Age,Age prediction accuracy,Higher 
216,age-top1,Age Top-1,N/A
217,Aggregate xView3 Score,A metric used to evaluate the performance of object detection models,Higher
218,AIOU,The AIOU score of a model,Higher
219,AKD,AKD is a metric used to evaluate object detection models in video surveillance tasks. It measures how well an object detector can track objects across multiple camera views using appearance and motion cues.,Lower
220,ALI,Score on the Atari Learning Environment benchmark,Higher
221,ALL,A metric used to evaluate the performance of object detection models,Higher
222,All,A metric used to evaluate the performance of recommendation models,Higher
223,all,All,N/A
224,ALL (miss rate),ALL for miss rate,Lower
225,Alpha - Conn,Measure of connectivity for a graph or network.,Higher 
226,Alpha - dtSSD,Alpha - dtSSD,N/A
227,Alpha - Grad,Alpha - Grad,N/A
228,Alpha - MAD,Alpha - Mean Absolute Deviation,Lower
229,Alpha - MSE,Mean squared error for alpha matte prediction,Lower 
230,Alpha-Word accuracy,Alpha-Word accuracy,Higher
231,AMH,AMH,N/A
232,amota,The average MOT accuracy of a model,Higher
233,AMRI,Measures the agreement between annotators in image retrieval evaluation,Higher 
234,AMT,Amazon Mechanical Turk,Not Clear
235,Angular Error,Mean angle error between predicted and ground truth poses,Lower
236,ANLI,Adversarial natural language inference,-
237,ANLS,ANLS is a metric used to evaluate generative models in image synthesis tasks. It measures how well generated images match human-written captions or descriptions using n-gram overlap and syntax tree similarity metrics.,Higher
238,ANS-EM,ANS-EM,N/A
239,ANS-F1,A metric used to measure the performance of a natural language processing system .,Higher
240,Answer Accuracy,A metric used to measure the performance of a natural language processing system .,Higher
241,Answer F1,The F1 score of a model on the SQuAD dataset,Higher
242,AnswerExactMatch (Question Answering),A metric used to measure the performance of a question answering system .,Higher
243,AP,A metric used to evaluate the performance of object detection models,Higher
244,AP 0.5,The AP score of a model with an IoU threshold of 0.5,Higher
245,AP Easy,A metric used to measure the performance of a generative model .,Higher
246,AP Hard,Average precision of difficult objects in the test set,Higher
247,AP Medium,Average precision medium,Higher 
248,AP novel-LVIS base training,"Average precision of object detection on the LVIS dataset, using novel objects seen during training",Higher
249,AP novel-Unrestricted open-vocabulary training,The average precision of a model on the novel-unrestricted open-vocabulary training task,Higher
250,AP_25,Average Precision at 25,Higher
251,AP_50,Average Precision at 50,Higher
252,AP_70,Average Precision with a threshold of 0.7,Higher
253,AP_75,Average precision at 75,Higher 
254,AP(l),Average precision (l),Higher 
255,AP(m),Average Precision for multi-label classification,Higher 
256,AP(s),A metric used to evaluate the performance of object detection models,Higher
257,AP(S1),Average Precision on S1 dataset,Higher
258,AP(S2),Average Precision for object detection task at IoU threshold 0.50:0.05:0.95,Higher 
259,AP@0.15,Average Precision at IOU threshold of 0.15,Higher 
260,AP@0.7,A metric used to evaluate the performance of object detection models,Higher
261,AP@0.7@CulverCity,Average Precision at 0.7 on CulverCity dataset,Higher
262,AP@0.7@Default,Average precision at 0.7 default,Higher 
263,AP@50,Average Precision at 50,Higher
264,AP@75,Average Precision at 75,Higher
265,AP@L,Average precision at L recall points for an object detection task.,Higher
266,AP@M,Average precision at M recall points for an object detection task.,Higher
267,AP@S,A metric used to evaluate the performance of object detection models,Higher
268,AP/L2,A metric used to evaluate the performance of image retrieval models,Higher
269,AP0.5 (Noisy),A metric used to evaluate the performance of object detection models,Higher
270,AP0.5 (Perfect),A metric used to evaluate the performance of object detection models,Higher
271,AP0.7 (Noisy),Average precision 0.7 noisy,Higher 
272,AP0.7 (Perfect),Average precision at 0.7 (perfect),Higher 
273,AP25,The AP score of a model with an IoU threshold of 0.25,Higher
274,AP50,The AP score of a model with an IoU threshold of 0.5,Higher
275,AP50l,Average Precision with a threshold of 0.5 for large objects,Higher
276,AP50m,Average Precision at 50 meters,Higher
277,AP50s,Average Precision at 50 seconds,Higher
278,AP70,A metric used to measure the performance of an object detection system .,Higher
279,AP75,The AP75 score of a model,Higher
280,AP75_L,A metric used to measure the performance of an object detection system .,Higher
281,AP75-H-Test,Average precision at 75 high test,Higher 
282,AP75-H-Val,Average Precision at 75% for Hard Validation,Higher
283,AP75-R-Test,Average precision at 75 R test,Higher 
284,AP75-R-Val,A metric used to evaluate the performance of object detection models,Higher
285,AP85,The AP score of a model with an IoU threshold of 0.85,Higher
286,APbb75,Average precision at a bounding box overlap threshold of 0.75 for an object detection task.,Higher
287,APC,Average precision for classification,Higher
288,APc,Average precision for object detection,Higher
289,APD@2000ms,Average precision at a distance threshold of 2000ms for pedestrian detection in autonomous driving scenarios.,Higher
290,APf,A metric used to evaluate the performance of object detection models,Higher
291,APH/L2,Average Precision for object detection task using Hamming distance for feature matching,Higher 
292,APL,Average precision (l),Higher 
293,APLS,Average precision at different similarity thresholds for a link prediction task.,Higher
294,APM,A metric used to evaluate the performance of object detection models,Higher
295,APm,Average precision mean,Higher 
296,APM50,Average precision at M=50 recall points for an object detection task.,Higher
297,APM75,Average precision at recall=0.75.,Higher
298,APmo,Mean Average Precision for object detection tasks,Higher
299,APQ,A metric used to measure the performance of a generative model .,Higher
300,APr,Average Precision,Higher
301,APS,A metric used to evaluate the performance of object detection models,Higher
302,APs,Average precision small,Higher 
303,APso,A metric used to evaluate the performance of object detection models,Higher
304,APt,Average Precision for small objects,Higher
305,APvol,A metric used to evaluate the performance of object detection models,Higher
306,APvt,Average precision for a given object detection task with varying levels of occlusion,Higher
307,AR,AR,Higher 
308,AR(l),A metric used to measure the performance of a recommendation system .,Higher
309,AR(m),Average recall at m false positives per image for an object detection task.,Higher
310,AR(s),Average recall over all classes and scales. 0 < s < 1 is the IoU threshold for matching detections with ground truth boxes. s = -1 indicates that the threshold is determined adaptively based on the size of the ground truth box. s = -2 indicates that the threshold is determined adaptively based on the aspect ratio of the ground truth box. s = -3 indicates that the threshold is determined adaptively based on both size and aspect ratio of the ground truth box.,Higher
311,AR@10,AR at 10,Higher 
312,AR@100,Average Recall at 100 detections,Higher
313,AR@1000,A metric used to measure the performance of a recommendation system .,Higher
314,AR@20,AR@20 is a metric used to evaluate recommendation systems. It measures the average recall rate of relevant items among the top 20 recommendations.,Higher
315,AR@200,Average Recall with a maximum of 200 detections per image,Higher
316,AR@50,A metric used to measure the performance of a recommendation system .,Higher
317,AR@500,A metric used to evaluate the performance of object detection models,Higher
318,AR1,AR1,Higher 
319,AR1_L,A metric used to evaluate the performance of recommendation models,Higher
320,AR10,A metric used to evaluate the performance of recommendation models,Higher
321,AR100,Average Recall at 100 detections,Higher
322,AR1000,Average recall at 1000,Higher 
323,AR300,Average Recall at 300 detections,Higher
324,AR50,Average recall at 50,Higher 
325,AR75,AR75 is a metric used to evaluate object detection models. It measures the average recall across all IoU thresholds greater than or equal to 0.75.,Higher
326,Architecture,"Architecture is a metric used to evaluate deep learning models. It measures the number of layers, neurons, and parameters in a model.",Lower
327,Area,A metric used to evaluate the performance of object detection models,Higher
328,Argument Id,Identification of arguments in text evaluation metric,Higher 
329,ARI,A metric used to evaluate the performance of clustering models,Higher
330,ARI-FG,Adjusted Rand Index for face/gender clustering task,Higher 
331,ARL,The ARL score of a model,Higher
332,ARM,The accuracy of a model on the ARM dataset,Higher
333,Armstand Accuracy,Accuracy of armstand exercise pose estimation,Higher 
334,ARs,A metric used to measure the performance of a recommendation system .,Higher
335,ARS,Average Reward per Step in Reinforcement Learning,Higher 
336,ASL mAP,A metric used to measure the performance of an object detection system .,Higher
337,ASR-BLEU (Dev),A metric used to evaluate the performance of speech recognition models,Higher
338,ASR-BLEU (Test),Automatic Speech Recognition BLEU score on Test set,Higher
339,AssA,Association accuracy,Higher 
340,Attack Success Rate,The percentage of adversarial examples that are classified incorrectly by a model,Lower
341,Attack: AutoAttack,A metric used to evaluate the robustness of image classification models,Lower
342,Attack: DeepFool,Attack: DeepFool,N/A
343,Attack: PGD20,The accuracy of a model under a PGD20 attack,Lower
344,Attacking Task Accuracy,A metric used to evaluate the performance of adversarial attack models,Higher
345,ATV,Average time to verify an identity in a biometric verification task.,Lower
346,AU(PRC),The area under the precision-recall curve of a model,Higher
347,AUC,Area under the curve for ROC or precision-recall curves,Higher
348,AUC (horizon error),The AUC score of a model on the horizon error task,Higher
349,AUC (outlier ratio = 0.5),Area Under the Receiver Operating Characteristic Curve for outlier detection task at 0.5 ratio,Higher 
350,AUC (test),The AUC score of a model on the test task,Higher
351,AUC (val),The area under the ROC curve on the validation set,Higher
352,AUC Per-segment,Area Under the Curve per segment,Higher
353,AUC Stdev,Area under the curve standard deviation,Lower 
354,"AUC_box@0.07 (%, Full)","Area under the curve box at 0.07 (percentage, full)",Higher 
355,AUC_F,Area under the curve F,Higher 
356,"AUC_inter-ocular@0.1 (%, all)",Area Under the Curve for inter-ocular distance at 0.1 threshold for all classes,Higher
357,AUC-J,The AUC-J score of a model,Higher
358,AUC-J&F,Area under the curve for joint and face detection.,Higher
359,AUC-PRO,The AUC-PRO score of a model,Higher
360,AUC-ROC,Area Under the Curve of Receiver Operating Characteristic,Higher
361,AUC(image-level),Area Under the Receiver Operating Characteristic Curve for image-level task,Higher 
362,AUC@7 (box),A metric used to evaluate the performance of object detection models,Higher
363,AUC@7 (box),Area Under the Curve at 7 (box),Higher
364,AUC@80%Train,A metric used to evaluate the performance of recommendation models,Higher
365,AUC0.07,A metric used to evaluate the performance of object detection models,Higher
366,AUC0.08 private,Area Under the Curve with 0.08 threshold for private dataset,Higher
367,AUCCESS,A metric used to evaluate the performance of recommendation models,Higher
368,AUCROC,Area under the curve receiver operating characteristic,Higher 
369,Audio Quality MOS,Mean Opinion Score (MOS) for audio quality,Higher
370,Audio-to-text R@1,Audio-to-text recognition rate at 1,Higher
371,Audio-to-text R@10,A metric used to evaluate the performance of speech recognition models,Higher
372,Audio-to-text R@5,Recall at 5 for audio-to-text task,Higher 
373,AUPR,The area under the precision-recall curve of a model,Higher
374,AUPRC,Area under the precision-recall curve for a binary classification task.,Higher
375,AUROC,Area under the receiver operating characteristic curve for a binary classification task.,Higher
376,autoattack,Adversarial attack success rate,Lower 
377,Average,A metric used to evaluate the performance of recommendation models,Higher
378,Average (%),Average percentage.,Higher
379,Average 3D Error,Average 3D Error,Lower
380,Average Accuracy,Average accuracy,Higher 
381,Average Accuracy (10 times),Average accuracy of a model over 10 runs,Higher
382,Average accuracy of 3 splits,A metric used to evaluate the performance of text classification models,Higher
383,Average AD-Accuracy,Average accuracy of the model in detecting anomalies,Higher
384,Average ASD,A metric used to measure the performance of a speaker diarization system .,Lower
385,Average AUC,Average Area Under the Curve,Higher
386,Average AUC on 14 label,Average Area Under the Curve on 14 label,Higher
387,AVERAGE AUC ON 14 LABEL,Average area under the curve on 14 label,Higher 
388,Average Best Overlap,Average Best Overlap,Higher
389,Average Cross-Ent,The average cross-entropy loss of a model,Lower
390,Average Detection Rate,Average detection rate over all classes.,Higher
391,Average Dice,Average dice,Higher 
392,Average Embedding,Average Embedding,N/A
393,Average End-Point Error,Average End-Point Error,Lower
394,Average F1,Average F1,Higher 
395,Average FID,A metric used to evaluate the quality of generative models,Lower
396,Average Incremental Accuracy,A metric used to measure the performance of a machine learning model .,Higher
397,Average IOU,Average Intersection over Union,Higher
398,Average MAE,A metric used to measure the performance of a regression system .,Lower
399,AVERAGE MAE,Average mean absolute error,Lower 
400,Average mAP,Average mean average precision for object detection,Higher
401,Average mean absolute error,A metric used to evaluate the performance of regression models,Lower
402,Average MPJPE (mm),Average mean per joint position error (mm),Lower 
403,Average MPJPE (mm) 1000 msec,Average Mean Per Joint Position Error in millimeters at 1000 msec,Lower
404,Average MPJPE (mm) for occluded Joints,Average mean per joint position error (mm) for occluded joints,Lower 
405,Average Orientation Similarity,Average similarity between predicted and ground truth orientation,Higher
406,Average Overlap,Average overlap,Higher 
407,Average pairwise accuracy,Average accuracy of pairwise comparisons between images.,Higher
408,Average Per-Class Accuracy,The average accuracy of each class in a classification task.,Higher
409,Average PMPJPE (mm),Average per joint position error (mm),Lower 
410,Average POS Tagging Accuracy,The average accuracy of a model on the POS tagging task,Higher
411,Average Precision,A metric used to evaluate the performance of object detection models,Higher
412,Average PSNR,Average Peak Signal-to-Noise Ratio,Higher
413,Average Queries,A metric used to measure the performance of a search engine .,Lower
414,Average Recall,The average of recall across all classes,Higher
415,Average Recall@IoU:0.5-0.95,A metric used to evaluate the performance of object detection models,Higher
416,Average Return,A metric used to evaluate the performance of reinforcement learning models,Higher
417,Average Return (NoOp),A metric used to measure the performance of a reinforcement learning system .,Higher
418,Average Reward,Average Reward,Higher
419,Average Score,Average Score,Higher
420,Average Sentence Length,Average Sentence Length is a metric used to evaluate natural language processing models in text generation tasks. It measures the average number of words per sentence in generated text.,Lower
421,Average Success Rate,The average success rate of a model,Higher
422,Average Top-1 Accuracy,Average top-1 accuracy,Higher 
423,average top-1 classification accuracy,Average top-1 classification accuracy,Higher 
424,average_precision,Average Precision,Higher
425,Average-AP,A metric used to measure the performance of an object detection system .,Higher
426,Average-mAP,Average Mean Average Precision,Higher
427,Averaged rank-1 acc(%),A metric used to evaluate the performance of person re-identification models,Higher
428,Avg,A metric used to evaluate the performance of recommendation models,Higher
429,AVG,The AVG score of a model,Higher
430,Avg #Steps,Average number of steps,Lower 
431,avg ± std,A metric used to measure the performance of a machine learning model .,Higher
432,Avg accuracy,The average accuracy of a model,Higher
433,Avg AMD/AMV 8/12,Average Absolute Motion Difference / Average Motion Vector 8/12,Lower
434,Avg DSC,Average Dice Similarity Coefficient (DSC) is a metric used to evaluate segmentation models in medical image analysis tasks. It measures how well predicted segmentations match ground truth segmentations using overlap ratios.,Higher
435,Avg F1,Average F1 score,Higher 
436,Avg HD,Average Hausdorff Distance,Lower
437,Avg mAP (0.1-0.5),The mean average precision of a model between 0.1 and 0.5,Higher
438,Avg mAP (0.3:0.7),A metric used to evaluate the performance of object detection models,Higher
